Metric,State,Dec2024,Dec2025,Proportion,Change
Overnight trips,New South Wales,10593,10570,36,0
Overnight trips,Victoria,8077,8043,27,0
Overnight trips,Queensland,6761,6772,23,0
Overnight trips,South Australia,2068,2050,7,-1
Overnight trips,Western Australia,2509,2563,9,2
Overnight trips,Tasmania,797,757,3,-5
Overnight trips,Northern Territory,221,214,1,-3
Overnight trips,Australian Capital Territory,573,586,2,2
Overnight trips,Australia,29579,29538,100,0
Visitor nights,New South Wales,30301,31126,32,3
Visitor nights,Victoria,21369,21450,22,0
Visitor nights,Queensland,23176,23303,24,1
Visitor nights,South Australia,6406,6427,7,0
Visitor nights,Western Australia,8603,8805,9,2
Visitor nights,Tasmania,2621,2613,3,0
Visitor nights,Northern Territory,885,842,1,-5
Visitor nights,Australian Capital Territory,1571,1611,2,3
Visitor nights,Australia,94934,96177,100,1
Regional expenditure,New South Wales,8738,8263,30,-5
Regional expenditure,Victoria,5898,5708,21,-3
Regional expenditure,Queensland,6917,6957,26,1
Regional expenditure,South Australia,1639,1734,6,6
Regional expenditure,Western Australia,3144,2867,11,-9
Regional expenditure,Tasmania,855,810,3,-5
Regional expenditure,Northern Territory,287,387,1,35
Regional expenditure,Australian Capital Territory,529,549,2,4
Regional expenditure,Australia,28006,27274,100,-3
