Category,Quarter,Value
Domestic airfares,March 2025,4130
Package Tours,March 2025,369
Organised Tours,March 2025,306
Rental vehicles,March 2025,522
Petrol,March 2025,5440
Vehicle maintenance/repairs,March 2025,291
Taxi,March 2025,367
Other local public transport,March 2025,222
Long distance public transport,March 2025,1023
Accommodation,March 2025,8074
Groceries for self-catering,March 2025,2175
Alcohol drinks,March 2025,2012
Takeaways and restaurant meals,March 2025,7027
Shopping gifts souvenirs,March 2025,4377
Entertainment,March 2025,1486
Gambling,March 2025,144
Education fees,March 2025,84
Convention Conference Seminar Trade,March 2025,159
Other expenditure,March 2025,671

Domestic airfares,June 2025,4181
Package Tours,June 2025,398
Organised Tours,June 2025,341
Rental vehicles,June 2025,510
Petrol,June 2025,5370
Vehicle maintenance/repairs,June 2025,396
Taxi,June 2025,384
Other local public transport,June 2025,226
Long distance public transport,June 2025,946
Accommodation,June 2025,6798
Groceries for self-catering,June 2025,2030
Alcohol drinks,June 2025,1891
Takeaways and restaurant meals,June 2025,6475
Shopping gifts souvenirs,June 2025,4124
Entertainment,June 2025,1241
Gambling,June 2025,156
Education fees,June 2025,85
Convention Conference Seminar Trade,June 2025,172
Other expenditure,June 2025,650

Domestic airfares,September 2025,4605
Package Tours,September 2025,468
Organised Tours,September 2025,333
Rental vehicles,September 2025,542
Petrol,September 2025,5637
Vehicle maintenance/repairs,September 2025,522
Taxi,September 2025,428
Other local public transport,September 2025,231
Long distance public transport,September 2025,986
Accommodation,September 2025,6789
Groceries for self-catering,September 2025,2185
Alcohol drinks,September 2025,1928
Takeaways and restaurant meals,September 2025,6626
Shopping gifts souvenirs,September 2025,4187
Entertainment,September 2025,1228
Gambling,September 2025,191
Education fees,September 2025,77
Convention Conference Seminar Trade,September 2025,189
Other expenditure,September 2025,754

Domestic airfares,December 2025,4744
Package Tours,December 2025,537
Organised Tours,December 2025,364
Rental vehicles,December 2025,558
Petrol,December 2025,5966
Vehicle maintenance/repairs,December 2025,603
Taxi,December 2025,498
Other local public transport,December 2025,241
Long distance public transport,December 2025,1057
Accommodation,December 2025,7492
Groceries for self-catering,December 2025,2417
Alcohol drinks,December 2025,1979
Takeaways and restaurant meals,December 2025,7016
Shopping gifts souvenirs,December 2025,3929
Entertainment,December 2025,1256
Gambling,December 2025,202
Education fees,December 2025,68
Convention Conference Seminar Trade,December 2025,204
Other expenditure,December 2025,834
