Year,State,GSP_Million
2016-17,NSW,15091
2016-17,VIC,11644
2016-17,QLD,11254
2016-17,SA,2889
2016-17,WA,5746
2016-17,TAS,1491
2016-17,NT,1107
2016-17,ACT,1024
2017-18,NSW,17131
2017-18,VIC,12526
2017-18,QLD,12669
2017-18,SA,3142
2017-18,WA,5060
2017-18,TAS,1521
2017-18,NT,1007
2017-18,ACT,1239
2018-19,NSW,18403
2018-19,VIC,14475
2018-19,QLD,13749
2018-19,SA,3547
2018-19,WA,6029
2018-19,TAS,1774
2018-19,NT,1133
2018-19,ACT,1231
2019-20,NSW,14562
2019-20,VIC,11418
2019-20,QLD,11012
2019-20,SA,3031
2019-20,WA,5189
2019-20,TAS,1470
2019-20,NT,833
2019-20,ACT,890
2020-21,NSW,9802
2020-21,VIC,5184
2020-21,QLD,7848
2020-21,SA,2378
2020-21,WA,3441
2020-21,TAS,1067
2020-21,NT,587
2020-21,ACT,565
2021-22,NSW,10074
2021-22,VIC,7936
2021-22,QLD,10092
2021-22,SA,2453
2021-22,WA,4178
2021-22,TAS,1291
2021-22,NT,812
2021-22,ACT,693
2022-23,NSW,21280
2022-23,VIC,15942
2022-23,QLD,17783
2022-23,SA,4382
2022-23,WA,7381
2022-23,TAS,1999
2022-23,NT,1352
2022-23,ACT,1500
2023-24,NSW,23864
2023-24,VIC,17979
2023-24,QLD,18715
2023-24,SA,4441
2023-24,WA,7810
2023-24,TAS,2268
2023-24,NT,1464
2023-24,ACT,1572
