Year,Category,State,Value
2016-17,Gross Value Added,NSW,5.2
2016-17,Gross Value Added,VIC,5.5
2016-17,Gross Value Added,QLD,6.7
2016-17,Gross Value Added,SA,5.8
2016-17,Gross Value Added,WA,4.3
2016-17,Gross Value Added,TAS,10.4
2016-17,Gross Value Added,NT,9.1
2016-17,Gross Value Added,ACT,5.4
2017-18,Gross Value Added,NSW,5.6
2017-18,Gross Value Added,VIC,5.6
2017-18,Gross Value Added,QLD,6.9
2017-18,Gross Value Added,SA,5.9
2017-18,Gross Value Added,WA,3.7
2017-18,Gross Value Added,TAS,10.1
2017-18,Gross Value Added,NT,8.0
2017-18,Gross Value Added,ACT,6.0
2018-19,Gross Value Added,NSW,5.7
2018-19,Gross Value Added,VIC,6.1
2018-19,Gross Value Added,QLD,7.2
2018-19,Gross Value Added,SA,6.4
2018-19,Gross Value Added,WA,3.9
2018-19,Gross Value Added,TAS,11.0
2018-19,Gross Value Added,NT,8.7
2018-19,Gross Value Added,ACT,5.7
2019-20,Gross Value Added,NSW,4.6
2019-20,Gross Value Added,VIC,4.8
2019-20,Gross Value Added,QLD,5.9
2019-20,Gross Value Added,SA,5.4
2019-20,Gross Value Added,WA,3.1
2019-20,Gross Value Added,TAS,8.9
2019-20,Gross Value Added,NT,6.0
2019-20,Gross Value Added,ACT,4.0
2020-21,Gross Value Added,NSW,3.1
2020-21,Gross Value Added,VIC,2.2
2020-21,Gross Value Added,QLD,4.3
2020-21,Gross Value Added,SA,4.1
2020-21,Gross Value Added,WA,1.9
2020-21,Gross Value Added,TAS,6.4
2020-21,Gross Value Added,NT,4.7
2020-21,Gross Value Added,ACT,2.5
2021-22,Gross Value Added,NSW,2.8
2021-22,Gross Value Added,VIC,3.0
2021-22,Gross Value Added,QLD,4.3
2021-22,Gross Value Added,SA,3.8
2021-22,Gross Value Added,WA,2.0
2021-22,Gross Value Added,TAS,6.9
2021-22,Gross Value Added,NT,4.8
2021-22,Gross Value Added,ACT,2.8
2022-23,Gross Value Added,NSW,5.1
2022-23,Gross Value Added,VIC,5.3
2022-23,Gross Value Added,QLD,6.5
2022-23,Gross Value Added,SA,5.9
2022-23,Gross Value Added,WA,3.0
2022-23,Gross Value Added,TAS,9.1
2022-23,Gross Value Added,NT,7.4
2022-23,Gross Value Added,ACT,5.4
2023-24,Gross Value Added,NSW,5.5
2023-24,Gross Value Added,VIC,5.6
2023-24,Gross Value Added,QLD,6.8
2023-24,Gross Value Added,SA,5.7
2023-24,Gross Value Added,WA,3.1
2023-24,Gross Value Added,TAS,10.1
2023-24,Gross Value Added,NT,7.9
2023-24,Gross Value Added,ACT,5.2
